item_material,volume,satuan,harga_pembanding,harga_saat_ini,harga_satuan,keterangan_tambahan,cabang_itb
"Pipa tembaga Set AC 3/8"" + 1/4"" (Pemakaian AC kap. 0,5-1 pk) tebal 0.61mm merk Hoda",30,meter,1275000,1400000,46700,Technica Store jakarta barat,Cirebon
Pipa tembaga Set AC 1/4? + 1/2? (pemakaian AC Kap. 1.5-2 Pk) tebal 0.61mm merk Hoda,30,meter,1525000,1650000,55000,,Cirebon
Pipa tembaga Set AC 1/4? + 5/8? (pemakaian AC Kap. 2.5-3 Pk) tebal 0.61mm merk Hoda,30,meter,2290000,2290000,76400,,Cirebon
Pipa tembaga Set AC 1/4? + 5/8? (pemakaian AC Kap. 2.5-3 Pk) tebal 0.61mm merk Hoda,15,meter,1150000,1225000,81700,,Cirebon
Pipa tembaga Set AC 3/8? + 5/8? (pemakaian AC Kap. 3-4 Pk) tebal 0.61mm merk Hoda,20,meter,1800000,1950000,97500,,Cirebon
Duct tape non lem 1 roll,1,Roll,3500,5000,5000,,Cirebon
Duct tape lem 1 roll,1,Roll,0,8000,8000,,Cirebon
Refrigeran R22 Honeywell,13.6,kg,1200000,1500000,110300,,Cirebon
Refrigeran R410A Honeywell,11.35,kg,1700000,1700000,149800,,Cirebon
Refrigeran R32 Daikin,3,kg,500000,500000,166700,,Cirebon
Bracket Oudoor AC,1,set,35000,35000,35000,,Cirebon
Dyna Bolt M10x50,1,buah,1500,1500,1500,,Cirebon
Dyna Bolt M6x60,1,buah,1000,1000,1000,,Cirebon
Dyna set M6 x30,1,buah,1300,1300,1300,,Cirebon
Dyna set M8 x30,1,buah,1500,1500,1500,,Cirebon
Mur M8 putih,1,buah,200,200,200,,Cirebon
Mur M6 putih,1,buah,100,100,100,,Cirebon
Longdrat M8,1,buah,11500,11500,11500,,Cirebon
Longdrat M6,1,buah,7100,7100,7100,,Cirebon
Ring plat M8 putih,100,buah,9500,9500,100,,Cirebon
Ring plat M6 putih,100,buah,4500,4500,100,,Cirebon
Pipa fleksible PVC putih  5/8 " = 20 mm,1,meter,4000,4000,4000,,Cirebon
Pipa fleksible PVC putih  1" = 25mm,1,meter,6000,6000,6000,,Cirebon
Kabel NYM 2x1.5mm2  Supreme,50,meter,280000,287000,5800,Harga Butik Lampu Bandung,Cirebon
Kabel NYM 2x2.5mm2  Supreme,50,meter,420000,410000,8200,Harga Butik Lampu Bandung,Cirebon
Kabel NYM 3x1.5mm2  Supreme,50,meter,365000,369000,7400,Harga Butik Lampu Bandung,Cirebon
Kabel NYM 3x2.5mm2  Supreme,50,meter,535000,532900,10700,Harga Butik Lampu Bandung,Cirebon
Kabel NYM 3x6mm2  Supreme,100,meter,,2550000,25500,,Cirebon
Kabel NYM 3x10mm2  Supreme,100,meter,4172000,4172000,41800,,Cirebon
Kabel NYM 4x1.5mm2  Supreme,100,meter,971000,971000,9800,,Cirebon
Kabel NYM 4x2.5mm2  Supreme,100,meter,1670000,1670000,16700,plasma jaya,Cirebon
Kabel NYM 4x4mm2  Supreme,100,meter,2535000,2535000,25400,Mulia electric,Cirebon
Kabel NYM 4x6mm2  Supreme,100,meter,3307000,3806000,38100,,Cirebon
Kabel NYM 4x10mm2  Supreme,100,meter,5470000,5470000,54700,,Cirebon
Kabel NYY 2x1.5mm2  Eterna,50,meter,322000,322000,6500,,Cirebon
Kabel NYY 2x2.5mm2  Eterna,50,meter,434000,434000,8700,,Cirebon
Kabel NYY 3x1.5mm2  SUpreme,100,meter,450500,980000,9800,Karapitan electric,Cirebon
Kabel NYY 3x2.5mm2  Supreme,100,meter,535000,1470000,14700,Karapitan electric,Cirebon
Kabel NYY 3x4mm2  Supreme,50,meter,830000,1180000,23600,Karapitan electric,Cirebon
Kabel NYY 3x6mm2  Supreme,50,meter,1100000,1400000,28000,,Cirebon
Kabel NYY 4x2.5mm2  Supreme,100,meter,648000,1979000,19800,Karapitan electric,Cirebon
Kabel NYY 4x4mm2  Supreme,50,meter,1010000,1650000,33000,Karapitan electric,Cirebon
Kabel NYY 4x6mm2  Eterna,50,meter,1310000,1557000,31200,,Cirebon
Kabel NYY 4x10mm2  Supreme,50,meter,2220000,3300000,66000,,Cirebon
Kabel NYY 4x16mm2  Supreme,100,meter,8500000,9300000,93000,,Cirebon
Kabel NYFGby 3x2.5mm2  Supreme,1,meter,31000,31000,31000,,Cirebon
Kabel NYMHY 2x0.75mm2  Supreme,100,meter,402000,402000,4100,,Cirebon
Kabel NYMHY 3x0.75mm2  Supreme,100,meter,572000,572000,5800,,Cirebon
Kabel NYMHY 2x1.5mm2  Supreme,100,meter,605000,605000,6100,,Cirebon
Kabel NYMHY 2x2.5mm2  Supreme,100,meter,955000,955000,9600,,Cirebon
Kabel NYMHY 3x1.5mm2  Supreme,100,meter,912000,912000,9200,,Cirebon
Kabel NYMHY 3x2.5mm2  Supreme,100,meter,1295000,1295000,13000,,Cirebon
Kabel NYMHY 4x1.5mm2  Supreme,100,meter,1167000,1167000,11700,,Cirebon
Kabel NYMHY 4x2.5mm2  Supreme,100,meter,1985000,1985000,19900,,Cirebon
Kabel NYYHY 2x0.75mm2  Supreme,50,meter,,275000,5500,Karapitan,Cirebon
Kabel NYYHY 2x1.5mm2  Supreme,50,meter,,375000,7500,Karapitan,Cirebon
Kabel NYYHY 3x1.5mm2  Supreme,50,meter,,574000,11500,Karapitan,Cirebon
Kabel NYYHY 3x2.5mm2  Supreme,50,meter,,920000,18400,,Cirebon
kabel NYA 1x1.5mm2 supreme,100,meter,90000,229000,2300,,Cirebon
kabel NYA 1x2.5mm2 supreme,100,meter,320000,342500,3500,,Cirebon
kabel NYA 4mm2 supreme,100,meter,,560000,5600,,Cirebon
kabel NYA 6mm2 supreme,100,meter,,1180000,11800,,Cirebon
kabel NYAF serabut 1x0.75mm2 supreme,100,meter,165000,200000,2000,,Cirebon
kabel NYAF serabut 1x1.5mm2 supreme,100,meter,277500,350000,3500,,Cirebon
kabel NYAF serabut 1x2.5mm2 supreme,100,meter,,500000,5000,,Cirebon
Kabel BC 4 mm2,1,meter,4000,4000,4000,,Cirebon
Kabel BC 6 mm2,1,meter,6000,6000,6000,,Cirebon
Kabel BC 10 mm2,1,meter,10000,10000,10000,,Cirebon
Kabel BC 16 mm2,1,meter,13000,13000,13000,,Cirebon
Kabel BC 25 mm2,1,meter,18000,18000,18000,,Cirebon
Kabel UTP cat 6e Belden,300,meter,1620000,1810000,6100,,Cirebon
Konektor RJ45 AMP,50,buah,90000,90000,1800,,Cirebon
Kabel HDMI V 2.0 20 meter,1,rol,295000,468000,468000,,Cirebon
"MCB 2 Ampere 4,5 kA 1 kutub Domae Scheneider",1,buah,68750,68750,68800,,Cirebon
"MCB 4 Ampere 4,5 kA 1 kutub Domae Scheneider",1,buah,68750,68750,68800,,Cirebon
"MCB 6 Ampere 4,5 kA 1 kutub Domae Scheneider",1,buah,59400,59400,59400,,Cirebon
"MCB 10 Ampere 4,5 kA 1 kutub Domae Scheneider",1,buah,59400,59400,59400,,Cirebon
"MCB 16 Ampere 4,5 kA 1 kutub Domae Scheneider",1,buah,59400,59400,59400,,Cirebon
"MCB 6 Ampere 4,5 kA 3 kutub Domae Scheneider",1,buah,279950,279950,280000,,Cirebon
"MCB 10 Ampere 4,5 kA 3 kutub Domae Scheneider",1,buah,279950,313500,313500,,Cirebon
"MCB 16 Ampere 4,5 kA 3 kutub Domae Scheneider",1,buah,279500,313500,313500,,Cirebon
"MCB 20 Ampere 4,5 kA 3 kutub Domae Scheneider",1,buah,279500,313500,313500,,Cirebon
"MCB 25 Ampere 4,5 kA 3 kutub Domae Scheneider",1,buah,296450,331650,331700,,Cirebon
"MCB 32 Ampere 4,5 kA 3 kutub Domae Scheneider",1,buah,325600,364100,364100,,Cirebon
"MCB 40 Ampere 4,5 kA 3 kutub Domae Scheneider",1,buah,335500,375650,375700,,Cirebon
"MCB 50 Ampere 4,5 kA 3 kutub Domae Scheneider",1,buah,,426250,426300,,Cirebon
"MCB 2A, 4A, 1 kutub iK60N Scheneider",1,buah,,118250,118300,,Cirebon
"MCB 6A, 10A, 16A, 20A 6kA 1 kutub iK60N Scheneider",1,buah,,103950,104000,,Cirebon
MCB 25A 6kA 1 kutub iK60N Scheneider,1,buah,,117700,117700,,Cirebon
MCB 6A/10A/16A/20A 6kA 3 kutub iK60N Scheneider,1,buah,,458700,458700,,Cirebon
MCB 25A 3 kutub iK60N Scheneider,1,buah,,488400,488400,,Cirebon
"MCCB 15A/20A/25A/30A/40A/50A 3 kutub Scheneider EZC100B 7,5kA",1,buah,568700,658900,658900,,Cirebon
MCCB 15A/20A/25A/30A/40A/50A 3 kutub Scheneider EZC100N 18kA,1,buah,,871200,871200,,Cirebon
MCCB 15A/20A/25A/30A/40A/50A 4 kutub Scheneider EZC100N 18kA,1,buah,1271600,1472900,1472900,,Cirebon
MCCB 15A/20A/25A/30A/40A/50A/60/75/80/100A 3 kutub Scheneider EZC100H 30kA,1,buah,,1005400,1005400,,Cirebon
MCCB 15A/20A/25A/30A/40A/50A 4 kutub Scheneider EZC100H 30kA,1,buah,,1529000,1529000,,Cirebon
MCCB 60A/75A/80A/100A 4 kutub Scheneider EZC100H 30kA,1,buah,,1725000,1725000,,Cirebon
"Pipa medium galvanis 1/2"" 2,6mm",6,meter,150000,150000,25000,,Cirebon
"Pipa medium galvanis 3/4"" 2,6mm",6,meter,195000,195000,32500,,Cirebon
"Pipa medium galvanis 1"" 3,2mm",6,meter,295000,295000,49200,,Cirebon
"Pipa medium galvanis 1 1/4"" 3,2mm",6,meter,395000,395000,65900,,Cirebon
"Pipa medium galvanis 1 1/2"" 3,2mm",6,meter,450000,450000,75000,,Cirebon
"Pipa medium galvanis 2"" 3,6mm",6,meter,615000,615000,102500,,Cirebon
"Pipa medium galvanis 2 1/2"" 3,6mm",6,meter,785000,785000,130900,,Cirebon
"Pipa medium galvanis 3"" 4,00mm",6,meter,1015000,1015000,169200,,Cirebon
"Pipa medium galvanis 4"" 4,5mm",6,meter,1465000,1465000,244200,,Cirebon
"Pipa medium galvanis 5"" 4,85mm",6,meter,2015000,2015000,335900,,Cirebon
"Pipa medium galvanis 6"" 4,85mm",6,meter,2395000,2395000,399200,,Cirebon
"Pipa medium galvanis 8"" 5,00mm",6,meter,3395000,3395000,565900,,Cirebon
"Pipa medium hitam (BSP) 1/2"" 2,6mm",6,meter,119000,119000,19900,,Cirebon
"Pipa medium hitam (BSP) 3/4"" 2,6mm",6,meter,162000,162000,27000,,Cirebon
"Pipa medium hitam (BSP) 1"" 3,2mm",6,meter,225000,225000,37500,,Cirebon
"Pipa medium hitam (BSP) 1 1/4"" 3,2mm",6,meter,298000,298000,49700,,Cirebon
"Pipa medium hitam (BSP) 1 1/2"" 3,2mm",6,meter,352000,352000,58700,,Cirebon
"Pipa medium hitam (BSP) 2"" 3,6mm",6,meter,465000,465000,77500,,Cirebon
"Pipa medium hitam (BSP) 2 1/2"" 3,6mm",6,meter,595000,595000,99200,,Cirebon
"Pipa medium hitam (BSP) 3"" 4,00mm",6,meter,768000,768000,128000,,Cirebon
"Pipa medium hitam (BSP) 4"" 4,5mm",6,meter,115000,115000,19200,,Cirebon
"Pipa medium hitam (BSP) 5"" 4,85mm",6,meter,1495000,1495000,249200,,Cirebon
"Pipa medium hitam (BSP) 6"" 4,85mm",6,meter,1780000,1780000,296700,,Cirebon
"Pipa medium hitam (BSP) 8"" 5,00mm",6,meter,2590000,2590000,431700,,Cirebon
"Pipa SCH40 galvanis 1/2"" 2,8mm",6,meter,161000,161000,26900,,Cirebon
"Pipa SCH40 galvanis 3/4"" 2,9mm",6,meter,213000,213000,35500,,Cirebon
"Pipa SCH40 galvanis 1"" 3,4mm",6,meter,313000,313000,52200,,Cirebon
"Pipa SCH40 galvanis 1 1/4"" 3,60mm",6,meter,421000,421000,70200,,Cirebon
"Pipa SCH40 galvanis 1 1/2"" 3,70mm",6,meter,531000,531000,88500,,Cirebon
"Pipa SCH40 galvanis 2"" 3,90mm",6,meter,672000,672000,112000,,Cirebon
"Pipa SCH40 galvanis 2 1/2"" 5,20mm",6,meter,1061000,1061000,176900,,Cirebon
"Pipa SCH40 galvanis 3"" 5,50mm",6,meter,1483000,1483000,247200,,Cirebon
"Pipa SCH40 galvanis 4"" 6,00mm",6,meter,1965000,1965000,327500,,Cirebon
"Pipa SCH40 galvanis 5"" 6,00mm",6,meter,2670000,2670000,445000,,Cirebon
"Pipa SCH40 galvanis 6"" 7,10mm",6,meter,3430000,3430000,571700,,Cirebon
"Pipa SCH40 galvanis 8"" 8,20mm",6,meter,5432000,5432000,905400,,Cirebon
"Pipa SCH40 hitam 1/2"" 2,8mm",6,meter,120000,120000,20000,,Cirebon
"Pipa SCH40 hitam 3/4"" 2,9mm",6,meter,190000,190000,31700,,Cirebon
"Pipa SCH40 hitam 1"" 3,4mm",6,meter,235000,235000,39200,,Cirebon
"Pipa SCH40 hitam 1 1/4"" 3,60mm",6,meter,320000,320000,53400,,Cirebon
"Pipa SCH40 hitam 1 1/2"" 3,70mm",6,meter,398000,398000,66400,,Cirebon
"Pipa SCH40 hitam 2"" 3,90mm",6,meter,505000,505000,84200,,Cirebon
"Pipa SCH40 hitam 2 1/2"" 5,20mm",6,meter,805000,805000,134200,,Cirebon
"Pipa SCH40 hitam 3"" 5,50mm",6,meter,1050000,1050000,175000,,Cirebon
"Pipa SCH40 hitam 4"" 6,00mm",6,meter,1495000,1495000,249200,,Cirebon
"Pipa SCH40 hitam 5"" 6,00mm",6,meter,2475000,2475000,412500,,Cirebon
"Pipa SCH40 hitam 6"" 7,10mm",6,meter,2615000,2615000,435900,,Cirebon
"Pipa SCH40 hitam 8"" 8,20mm",6,meter,4150000,4150000,691700,,Cirebon
Pipa PVC Wavin Tipe AW dia 1/2" (22 mm),4,meter,21100,21100,5300,,Cirebon
Pipa PVC Wavin Tipe AW dia 3/4" (26 mm),4,meter,28800,28800,7200,,Cirebon
Pipa PVC Wavin Tipe AW dia 1" (32 mm),4,meter,39300,39300,9900,,Cirebon
Pipa PVC Wavin Tipe AW dia 1 1/4" (42 mm),4,meter,58900,58900,14800,,Cirebon
Pipa PVC Wavin Tipe AW dia 1 1/2" (48 mm),4,meter,67600,67600,16900,,Cirebon
Pipa PVC Wavin Tipe AW dia 2" (60 mm),4,meter,86500,86500,21700,,Cirebon
Pipa PVC Wavin Tipe AW dia 2 1/2" (76 mm),4,meter,126200,126200,31600,,Cirebon
Pipa PVC Wavin Tipe AW dia 3" (89 mm),4,meter,177800,177800,44500,,Cirebon
Pipa PVC Wavin Tipe AW dia 4" (114 mm),4,meter,294600,294600,73700,,Cirebon
Pipa PVC Wavin Tipe AW dia 5" (140 mm),4,meter,466800,466800,116700,,Cirebon
Pipa PVC Wavin Tipe AW dia 6" (165 mm),4,meter,654700,654700,163700,,Cirebon
Pipa PVC Wavin Tipe AW dia 8" (216 mm),4,meter,1098700,1098700,274700,,Cirebon
Pipa PVC Wavin Tipe AW dia 10" (267 mm),4,meter,1698900,1698900,424800,,Cirebon
Pipa PVC Wavin Tipe AW dia 12" (318 mm),4,meter,2395400,2395400,598900,,Cirebon
Pipa PVC Rucika Tipe VP dia 1/2" (22 mm),4,meter,31500,31500,7900,,Cirebon
Pipa PVC Rucika Tipe VP dia 3/4" (26 mm),4,meter,39800,39800,10000,,Cirebon
Pipa PVC Rucika Tipe VP dia 1" (32 mm),4,meter,53800,53800,13500,,Cirebon
Pipa PVC Rucika Tipe VP dia 1 1/4" (42 mm),4,meter,79600,79600,19900,,Cirebon
Pipa PVC Rucika Tipe VP dia 1 1/2" (48 mm),4,meter,99300,99300,24900,,Cirebon
Pipa PVC Rucika Tipe VP dia 2" (60 mm),4,meter,142000,142000,35500,,Cirebon
Pipa PVC Rucika Tipe VP dia 2 1/2" (76 mm),4,meter,167000,167000,41800,,Cirebon
Pipa PVC Rucika Tipe VP dia 3" (89 mm),4,meter,257000,257000,64300,,Cirebon
Pipa PVC Rucika Tipe VP dia 4" (114 mm),4,meter,355000,355000,88800,,Cirebon
Pipa PVC Rucika Tipe VP dia 5" (140 mm),4,meter,660400,660400,165100,,Cirebon
Pipa PVC Rucika Tipe VP dia 6" (165 mm),4,meter,691000,691000,172800,,Cirebon
Pipa PVC Rucika Tipe VP dia 8" (216 mm),4,meter,1061000,1061000,265300,,Cirebon
Pipa PVC Rucika Tipe VP dia 10" (267 mm),4,meter,2285000,2285000,571300,,Cirebon
Pipa PVC Rucika Tipe VP dia 12" (318 mm),4,meter,3241300,3241300,810400,,Cirebon
elbow 90 Pipa PVC AW 1/2?,1,buah,1700,1700,1700,,Cirebon
elbow 90 Pipa PVC AW 3/4?,1,buah,2200,2200,2200,,Cirebon
elbow 90 Pipa PVC AW 1?,1,buah,3500,3500,3500,,Cirebon
elbow 90 Pipa PVC AW 1 1/4?,1,buah,6100,6100,6100,,Cirebon
elbow 90 Pipa PVC AW 1 1/2?,1,buah,8500,8500,8500,,Cirebon
elbow 90 Pipa PVC AW 2?,1,buah,13000,13000,13000,,Cirebon
elbow 90 Pipa PVC AW2 1/2?,1,buah,20500,20500,20500,,Cirebon
elbow 90 Pipa PVC AW 3?,1,buah,34400,34400,34400,,Cirebon
elbow 90 Pipa PVC AW 4?,1,buah,63800,63800,63800,,Cirebon
elbow 90 Pipa PVC AW 5?,2,buah,96500,96500,48300,,Cirebon
elbow 90 Pipa PVC AW 6?,1,buah,161400,161400,161400,,Cirebon
elbow 90 Pipa PVC AW 8?,1,buah,365700,365700,365700,,Cirebon
elbow 90 Pipa PVC AW 10?,1,buah,488700,488700,488700,,Cirebon
Socket Pipa PVC AW 3/4?,1,buah,1800,1800,1800,,Cirebon
Socket Pipa PVC AW 1?,1,buah,2800,2800,2800,,Cirebon
Socket Pipa PVC AW 1 1/4?,1,buah,4800,4800,4800,,Cirebon
Socket Pipa PVC AW 1 1/2?,1,buah,6900,6900,6900,,Cirebon
Socket Pipa PVC AW 2?,1,buah,10700,10700,10700,,Cirebon
Socket Pipa PVC AW2 1/2?,1,buah,18000,18000,18000,,Cirebon
Socket Pipa PVC AW 3?,1,buah,25900,25900,25900,,Cirebon
Socket Pipa PVC AW 4?,1,buah,51300,51300,51300,,Cirebon
Socket Pipa PVC AW6?,1,buah,108100,108100,108100,,Cirebon
Socket Pipa PVC AW 8?,1,buah,218400,218400,218400,,Cirebon
Socket Pipa PVC AW 10?,1,buah,346000,346000,346000,,Cirebon
Reducer pipa PVC 1 1/2?X 1 1/4?,1,buah,2400,2400,2400,,Cirebon
Reducer pipa PVC 2? X 1 1/4?,1,buah,3200,3200,3200,,Cirebon
Reducer pipa PVC 2? X 1 1/2?,1,buah,3100,3100,3100,,Cirebon
Reducer pipa PVC 21/2?X 11/2?,1,buah,5100,5100,5100,,Cirebon
Reducer pipa PVC 2 1/2? X 2?,1,buah,5500,5500,5500,,Cirebon
Reducer pipa PVC 3? x 11/2?,1,buah,6500,6500,6500,,Cirebon
Reducer pipa PVC 3? X 2?,1,buah,7100,7100,7100,,Cirebon
Reducer pipa PVC 3? X 2 1/2?,1,buah,7200,7200,7200,,Cirebon
Reducer pipa PVC 4? X 2?,1,buah,12000,12000,12000,,Cirebon
Reducer pipa PVC 4? X 21/2?,1,buah,13200,13200,13200,,Cirebon
Reducer pipa PVC 4? X 3?,1,buah,14000,14000,14000,,Cirebon
Reducer pipa PVC 5? X 4?,1,buah,26400,26400,26400,,Cirebon
Reducer pipa PVC 6? X 3?,1,buah,39500,39500,39500,,Cirebon
Reducer pipa PVC 6? X 4?,1,buah,38900,38900,38900,,Cirebon
Reducer pipa PVC 6? X 5?,1,buah,50300,50300,50300,,Cirebon
Reducer pipa PVC 8? X 4?,1,buah,87800,87800,87800,,Cirebon
Reducer pipa PVC 8? x 6?,1,buah,84600,84600,84600,,Cirebon
Tee Pipa PVC AW 1/2?,1,buah,2200,2200,2200,,Cirebon
Tee Pipa PVC AW 3/4? x 1/2?",1,buah,3100,3100,3100,,Cirebon
Tee Pipa PVC AW 3/4?,1,buah,3100,3100,3100,,Cirebon
Tee Pipa PVC AW 1? x 1/2?,1,buah,4700,4700,4700,,Cirebon
Tee Pipa PVC AW 1? x 3/4?,1,buah,4900,4900,4900,,Cirebon
Tee Pipa PVC AW 1?,1,buah,5100,5100,5100,,Cirebon
Tee Pipa PVC AW 1 1/4? x 1/2?,1,buah,7000,7000,7000,,Cirebon
Tee Pipa PVC AW 1 1/4? x 3/4?,1,buah,7300,7300,7300,,Cirebon
Tee Pipa PVC AW 1 1/4? x 1?,1,buah,8300,8300,8300,,Cirebon
Tee Pipa PVC AW 1 1/4?,1,buah,8600,8600,8600,,Cirebon
Tee Pipa PVC AW 1 1/2? x 1/2?,1,buah,9600,9600,9600,,Cirebon
Tee Pipa PVC AW 1 1/2? x 3/4?,1,buah,9600,9600,9600,,Cirebon
Tee Pipa PVC AW 1 1/2? x 1?,1,buah,10200,10200,10200,,Cirebon
Tee Pipa PVC AW 1 1/2? x 1 1/4?,1,buah,11500,11500,11500,,Cirebon
Tee Pipa PVC AW 1 1/2?,1,buah,11500,11500,11500,,Cirebon
Tee Pipa PVC AW 2? x 1/2?,1,buah,11600,11600,11600,,Cirebon
Tee Pipa PVC AW 2? x 3/4?,1,buah,11700,11700,11700,,Cirebon
Tee Pipa PVC AW 2? x 1?,1,buah,12100,12100,12100,,Cirebon
Tee Pipa PVC AW 2? x 1 1/4?,1,buah,16700,16700,16700,,Cirebon
Tee Pipa PVC AW 2? x 1 1/2?,1,buah,16800,16800,16800,,Cirebon
Tee Pipa PVC AW 2?,1,buah,18300,18300,18300,,Cirebon
Tee Pipa PVC AW 2 1/2?,1,buah,28100,28100,28100,,Cirebon
Tee Pipa PVC AW 3? x 2?,1,buah,32600,32600,32600,,Cirebon
Tee Pipa PVC AW 3?,1,buah,42500,42500,42500,,Cirebon
Tee Pipa PVC AW 4?,1,buah,85000,85000,85000,,Cirebon
Tee Pipa PVC AW 6?,1,buah,213800,213800,213800,,Cirebon
Tee Y Pipa PVC AW 6? x 4",1,buah,,85000,85000,,Cirebon
Tee Y Pipa PVC AW 6? x 4",1,buah,,120000,120000,,Cirebon
Pipa PPR Wavin Tigris PN10 1/2" (20mm) ,4,meter,43780,43780,11000,,Cirebon
Pipa PPR Wavin Tigris PN10 3/4" (25mm) ,4,meter,57310,57310,14400,,Cirebon
Pipa PPR Wavin Tigris PN10 1" (32mm) ,4,meter,92180,92180,23100,,Cirebon
Pipa PPR Wavin Tigris PN10 1 1/4" (40mm),4,meter,146080,146080,36600,,Cirebon
Pipa PPR Wavin Tigris PN10 1 1/2" (50mm),4,meter,226600,226600,56700,,Cirebon
Pipa PPR Wavin Tigris PN10 2" (63mm),4,meter,358710,358710,89700,,Cirebon
Pipa PPR Wavin Tigris PN10 2 1/2" (75mm),4,meter,501930,501930,125500,,Cirebon
Pipa PPR Wavin Tigris PN10 3" (90mm),4,meter,724460,724460,181200,,Cirebon
Pipa HDPE Wavin Black PN10 1 1/2" (63mm),1,meter,22550,22550,22600,,Cirebon
Pipa HDPE Wavin Black PN10 2" (63mm),1,meter,35900,35900,35900,,Cirebon
Pipa HDPE Wavin Black PN10 2 1/2" (75mm),1,meter,50700,50700,50700,,Cirebon
Pipa HDPE Wavin Black PN10 3" (90mm),1,meter,72900,72900,72900,,Cirebon
Pipa Air Panas Resistant 1/2" rifeng,1,meter,,9000,9000,,Cirebon
Stop valve + Fleksibel hose toto TX277s,1,buah,,199700,199700,,Cirebon
Fleksibel hose stainless 30 cm Onda,1,buah,,32000,32000,,Cirebon
Elbow 90 Wavin Tigris 3/4",1,meter,10000,10000,10000,,Cirebon
Elbow 90 Wavin Tigris 1",1,meter,11000,11000,11000,,Cirebon
Elbow 90 Wavin Tigris 1 1/2",1,meter,37000,37000,37000,,Cirebon
Elbow 90 Wavin Tigris 2",1,meter,49000,49000,49000,,Cirebon
Socket Wavin Tigris 3/4",1,meter,11000,11000,11000,,Cirebon
Socket Wavin Tigris 1",1,meter,13000,13000,13000,,Cirebon
Socket Wavin Tigris 1 1/2",1,meter,27000,27000,27000,,Cirebon
Socket Wavin Tigris 2",1,meter,43000,43000,43000,,Cirebon
Floor drain Toto dia 4" TX1AN,1,buah,377000,377000,377000,,Cirebon
Floor drain Toto dia 4" TX1BN (cover Persegi 10x10 cm),1,buah,457000,457000,457000,,Cirebon
Floor drain SanEi dia 4" HN508P (cover Persegi 10x10 cm),1,buah,255000,255000,255000,,Cirebon
Pompa celup Grundfos KPC300A ,1,unit,1720000,1980000,1980000,,Cirebon
Pompa celup Grundfos KPC600A ,1,unit,2850000,3050000,3050000,,Cirebon
Pipa Conduit listrik dia 5/8" (20 mm) legrand,3,meter,10200,11000,3700,,Cirebon
Pipa Conduit listrik dia 3/4" (25 mm) clipsal,3,meter,23300,23300,7800,,Cirebon
Clamp pipa conduit 5/8" legrand,1,buah,800,800,800,,Cirebon
Clamp pipa conduit 3/4" clipsal,1,buah,1800,1800,1800,,Cirebon
Sock pipa conduit 5/8" clipsal,1,buah,800,800,800,,Cirebon
