item_material,volume,satuan,harga_pembanding,harga_saat_ini,harga_satuan,keterangan_tambahan,cabang_itb
"Pipa SCH40 galvanis 5"" 6,00mm",6,meter,2670000,2670000,445000,,Ganesha
"Pipa SCH40 galvanis 6"" 7,10mm",6,meter,3430000,3430000,571700,,Ganesha
"Pipa SCH40 galvanis 8"" 8,20mm",6,meter,5432000,5432000,905400,,Ganesha
"Pipa SCH40 hitam 1/2"" 2,8mm",6,meter,120000,120000,20000,,Ganesha
"Pipa SCH40 hitam 3/4"" 2,9mm",6,meter,190000,190000,31700,,Ganesha
"Pipa SCH40 hitam 1"" 3,4mm",6,meter,235000,235000,39200,,Ganesha
"Pipa SCH40 hitam 1 1/4"" 3,60mm",6,meter,320000,320000,53400,,Ganesha
"Pipa SCH40 hitam 1 1/2"" 3,70mm",6,meter,398000,398000,66400,,Ganesha
"Pipa SCH40 hitam 2"" 3,90mm",6,meter,505000,505000,84200,,Ganesha
"Pipa SCH40 hitam 2 1/2"" 5,20mm",6,meter,805000,805000,134200,,Ganesha
"Pipa SCH40 hitam 3"" 5,50mm",6,meter,1050000,1050000,175000,,Ganesha
"Pipa SCH40 hitam 4"" 6,00mm",6,meter,1495000,1495000,249200,,Ganesha
"Pipa SCH40 hitam 5"" 6,00mm",6,meter,2475000,2475000,412500,,Ganesha
"Pipa SCH40 hitam 6"" 7,10mm",6,meter,2615000,2615000,435900,,Ganesha
"Pipa SCH40 hitam 8"" 8,20mm",6,meter,4150000,4150000,691700,,Ganesha
Pipa PVC Wavin Tipe AW dia 1/2" (22 mm),4,meter,21100,21100,5300,,Ganesha
Pipa PVC Wavin Tipe AW dia 3/4" (26 mm),4,meter,28800,28800,7200,,Ganesha
Pipa PVC Wavin Tipe AW dia 1" (32 mm),4,meter,39300,39300,9900,,Ganesha
Pipa PVC Wavin Tipe AW dia 1 1/4" (42 mm),4,meter,58900,58900,14800,,Ganesha
Pipa PVC Wavin Tipe AW dia 1 1/2" (48 mm),4,meter,67600,67600,16900,,Ganesha
Pipa PVC Wavin Tipe AW dia 2" (60 mm),4,meter,86500,86500,21700,,Ganesha
Pipa PVC Wavin Tipe AW dia 2 1/2" (76 mm),4,meter,126200,126200,31600,,Ganesha
Pipa PVC Wavin Tipe AW dia 3" (89 mm),4,meter,177800,177800,44500,,Ganesha
Pipa PVC Wavin Tipe AW dia 4" (114 mm),4,meter,294600,294600,73700,,Ganesha
Pipa PVC Wavin Tipe AW dia 5" (140 mm),4,meter,466800,466800,116700,,Ganesha
Pipa PVC Wavin Tipe AW dia 6" (165 mm),4,meter,654700,654700,163700,,Ganesha
Pipa PVC Wavin Tipe AW dia 8" (216 mm),4,meter,1098700,1098700,274700,,Ganesha
Pipa PVC Wavin Tipe AW dia 10" (267 mm),4,meter,1698900,1698900,424800,,Ganesha
Pipa PVC Wavin Tipe AW dia 12" (318 mm),4,meter,2395400,2395400,598900,,Ganesha
Pipa PVC Rucika Tipe VP dia 1/2" (22 mm),4,meter,31500,31500,7900,,Ganesha
Pipa PVC Rucika Tipe VP dia 3/4" (26 mm),4,meter,39800,39800,10000,,Ganesha
Pipa PVC Rucika Tipe VP dia 1" (32 mm),4,meter,53800,53800,13500,,Ganesha
Pipa PVC Rucika Tipe VP dia 1 1/4" (42 mm),4,meter,79600,79600,19900,,Ganesha
Pipa PVC Rucika Tipe VP dia 1 1/2" (48 mm),4,meter,99300,99300,24900,,Ganesha
Pipa PVC Rucika Tipe VP dia 2" (60 mm),4,meter,142000,142000,35500,,Ganesha
Pipa PVC Rucika Tipe VP dia 2 1/2" (76 mm),4,meter,167000,167000,41800,,Ganesha
Pipa PVC Rucika Tipe VP dia 3" (89 mm),4,meter,257000,257000,64300,,Ganesha
Pipa PVC Rucika Tipe VP dia 4" (114 mm),4,meter,355000,355000,88800,,Ganesha
Pipa PVC Rucika Tipe VP dia 5" (140 mm),4,meter,660400,660400,165100,,Ganesha
Pipa PVC Rucika Tipe VP dia 6" (165 mm),4,meter,691000,691000,172800,,Ganesha
Pipa PVC Rucika Tipe VP dia 8" (216 mm),4,meter,1061000,1061000,265300,,Ganesha
Pipa PVC Rucika Tipe VP dia 10" (267 mm),4,meter,2285000,2285000,571300,,Ganesha
Pipa PVC Rucika Tipe VP dia 12" (318 mm),4,meter,3241300,3241300,810400,,Ganesha
elbow 90 Pipa PVC AW 1/2?,1,buah,1700,1700,1700,,Ganesha
elbow 90 Pipa PVC AW 3/4?,1,buah,2200,2200,2200,,Ganesha
elbow 90 Pipa PVC AW 1?,1,buah,3500,3500,3500,,Ganesha
elbow 90 Pipa PVC AW 1 1/4?,1,buah,6100,6100,6100,,Ganesha
elbow 90 Pipa PVC AW 1 1/2?,1,buah,8500,8500,8500,,Ganesha
elbow 90 Pipa PVC AW 2?,1,buah,13000,13000,13000,,Ganesha
elbow 90 Pipa PVC AW2 1/2?,1,buah,20500,20500,20500,,Ganesha
elbow 90 Pipa PVC AW 3?,1,buah,34400,34400,34400,,Ganesha
elbow 90 Pipa PVC AW 4?,1,buah,63800,63800,63800,,Ganesha
elbow 90 Pipa PVC AW 5?,2,buah,96500,96500,48300,,Ganesha
elbow 90 Pipa PVC AW 6?,1,buah,161400,161400,161400,,Ganesha
elbow 90 Pipa PVC AW 8?,1,buah,365700,365700,365700,,Ganesha
elbow 90 Pipa PVC AW 10?,1,buah,488700,488700,488700,,Ganesha
Socket Pipa PVC AW 3/4?,1,buah,1800,1800,1800,,Ganesha
Socket Pipa PVC AW 1?,1,buah,2800,2800,2800,,Ganesha
Socket Pipa PVC AW 1 1/4?,1,buah,4800,4800,4800,,Ganesha
Socket Pipa PVC AW 1 1/2?,1,buah,6900,6900,6900,,Ganesha
Socket Pipa PVC AW 2?,1,buah,10700,10700,10700,,Ganesha
Socket Pipa PVC AW2 1/2?,1,buah,18000,18000,18000,,Ganesha
Socket Pipa PVC AW 3?,1,buah,25900,25900,25900,,Ganesha
Socket Pipa PVC AW 4?,1,buah,51300,51300,51300,,Ganesha
Socket Pipa PVC AW6?,1,buah,108100,108100,108100,,Ganesha
Socket Pipa PVC AW 8?,1,buah,218400,218400,218400,,Ganesha
Socket Pipa PVC AW 10?,1,buah,346000,346000,346000,,Ganesha
Reducer pipa PVC 1 1/2?X 1 1/4?,1,buah,2400,2400,2400,,Ganesha
Reducer pipa PVC 2? X 1 1/4?,1,buah,3200,3200,3200,,Ganesha
Reducer pipa PVC 2? X 1 1/2?,1,buah,3100,3100,3100,,Ganesha
Reducer pipa PVC 21/2?X 11/2?,1,buah,5100,5100,5100,,Ganesha
Reducer pipa PVC 2 1/2? X 2?,1,buah,5500,5500,5500,,Ganesha
Reducer pipa PVC 3? x 11/2?,1,buah,6500,6500,6500,,Ganesha
Reducer pipa PVC 3? X 2?,1,buah,7100,7100,7100,,Ganesha
Reducer pipa PVC 3? X 2 1/2?,1,buah,7200,7200,7200,,Ganesha
Reducer pipa PVC 4? X 2?,1,buah,12000,12000,12000,,Ganesha
Reducer pipa PVC 4? X 21/2?,1,buah,13200,13200,13200,,Ganesha
Reducer pipa PVC 4? X 3?,1,buah,14000,14000,14000,,Ganesha
Reducer pipa PVC 5? X 4?,1,buah,26400,26400,26400,,Ganesha
Reducer pipa PVC 6? X 3?,1,buah,39500,39500,39500,,Ganesha
Reducer pipa PVC 6? X 4?,1,buah,38900,38900,38900,,Ganesha
Reducer pipa PVC 6? X 5?,1,buah,50300,50300,50300,,Ganesha
Reducer pipa PVC 8? X 4?,1,buah,87800,87800,87800,,Ganesha
Reducer pipa PVC 8? x 6?,1,buah,84600,84600,84600,,Ganesha
Tee Pipa PVC AW 1/2?,1,buah,2200,2200,2200,,Ganesha
Tee Pipa PVC AW 3/4? x 1/2?",1,buah,3100,3100,3100,,Ganesha
Tee Pipa PVC AW 3/4?,1,buah,3100,3100,3100,,Ganesha
Tee Pipa PVC AW 1? x 1/2?,1,buah,4700,4700,4700,,Ganesha
Tee Pipa PVC AW 1? x 3/4?,1,buah,4900,4900,4900,,Ganesha
Tee Pipa PVC AW 1?,1,buah,5100,5100,5100,,Ganesha
Tee Pipa PVC AW 1 1/4? x 1/2?,1,buah,7000,7000,7000,,Ganesha
Tee Pipa PVC AW 1 1/4? x 3/4?,1,buah,7300,7300,7300,,Ganesha
Tee Pipa PVC AW 1 1/4? x 1?,1,buah,8300,8300,8300,,Ganesha
Tee Pipa PVC AW 1 1/4?,1,buah,8600,8600,8600,,Ganesha
Tee Pipa PVC AW 1 1/2? x 1/2?,1,buah,9600,9600,9600,,Ganesha
Tee Pipa PVC AW 1 1/2? x 3/4?,1,buah,9600,9600,9600,,Ganesha
Tee Pipa PVC AW 1 1/2? x 1?,1,buah,10200,10200,10200,,Ganesha
Tee Pipa PVC AW 1 1/2? x 1 1/4?,1,buah,11500,11500,11500,,Ganesha
Tee Pipa PVC AW 1 1/2?,1,buah,11500,11500,11500,,Ganesha
Tee Pipa PVC AW 2? x 1/2?,1,buah,11600,11600,11600,,Ganesha
Tee Pipa PVC AW 2? x 3/4?,1,buah,11700,11700,11700,,Ganesha
Tee Pipa PVC AW 2? x 1?,1,buah,12100,12100,12100,,Ganesha
Tee Pipa PVC AW 2? x 1 1/4?,1,buah,16700,16700,16700,,Ganesha
Tee Pipa PVC AW 2? x 1 1/2?,1,buah,16800,16800,16800,,Ganesha
Tee Pipa PVC AW 2?,1,buah,18300,18300,18300,,Ganesha
Tee Pipa PVC AW 2 1/2?,1,buah,28100,28100,28100,,Ganesha
Tee Pipa PVC AW 3? x 2?,1,buah,32600,32600,32600,,Ganesha
Tee Pipa PVC AW 3?,1,buah,42500,42500,42500,,Ganesha
Tee Pipa PVC AW 4?,1,buah,85000,85000,85000,,Ganesha
Tee Pipa PVC AW 6?,1,buah,213800,213800,213800,,Ganesha
Tee Y Pipa PVC AW 6? x 4",1,buah,,85000,85000,,Ganesha
Tee Y Pipa PVC AW 6? x 4",1,buah,,120000,120000,,Ganesha
Pipa PPR Wavin Tigris PN10 1/2" (20mm) ,4,meter,43780,43780,11000,,Ganesha
Pipa PPR Wavin Tigris PN10 3/4" (25mm) ,4,meter,57310,57310,14400,,Ganesha
Pipa PPR Wavin Tigris PN10 1" (32mm) ,4,meter,92180,92180,23100,,Ganesha
Pipa PPR Wavin Tigris PN10 1 1/4" (40mm),4,meter,146080,146080,36600,,Ganesha
Pipa PPR Wavin Tigris PN10 1 1/2" (50mm),4,meter,226600,226600,56700,,Ganesha
Pipa PPR Wavin Tigris PN10 2" (63mm),4,meter,358710,358710,89700,,Ganesha
Pipa PPR Wavin Tigris PN10 2 1/2" (75mm),4,meter,501930,501930,125500,,Ganesha
Pipa PPR Wavin Tigris PN10 3" (90mm),4,meter,724460,724460,181200,,Ganesha
Pipa HDPE Wavin Black PN10 1 1/2" (63mm),1,meter,22550,22550,22600,,Ganesha
Pipa HDPE Wavin Black PN10 2" (63mm),1,meter,35900,35900,35900,,Ganesha
Pipa HDPE Wavin Black PN10 2 1/2" (75mm),1,meter,50700,50700,50700,,Ganesha
Pipa HDPE Wavin Black PN10 3" (90mm),1,meter,72900,72900,72900,,Ganesha
Pipa Air Panas Resistant 1/2" rifeng,1,meter,,9000,9000,,Ganesha
Stop valve + Fleksibel hose toto TX277s,1,buah,,199700,199700,,Ganesha
Fleksibel hose stainless 30 cm Onda,1,buah,,32000,32000,,Ganesha
Elbow 90 Wavin Tigris 3/4",1,meter,10000,10000,10000,,Ganesha
Elbow 90 Wavin Tigris 1",1,meter,11000,11000,11000,,Ganesha
Elbow 90 Wavin Tigris 1 1/2",1,meter,37000,37000,37000,,Ganesha
Elbow 90 Wavin Tigris 2",1,meter,49000,49000,49000,,Ganesha
Socket Wavin Tigris 3/4",1,meter,11000,11000,11000,,Ganesha
Socket Wavin Tigris 1",1,meter,13000,13000,13000,,Ganesha
Socket Wavin Tigris 1 1/2",1,meter,27000,27000,27000,,Ganesha
Socket Wavin Tigris 2",1,meter,43000,43000,43000,,Ganesha
Floor drain Toto dia 4" TX1AN,1,buah,377000,377000,377000,,Ganesha
Floor drain Toto dia 4" TX1BN (cover Persegi 10x10 cm),1,buah,457000,457000,457000,,Ganesha
Floor drain SanEi dia 4" HN508P (cover Persegi 10x10 cm),1,buah,255000,255000,255000,,Ganesha
Pompa celup Grundfos KPC300A ,1,unit,1720000,1980000,1980000,,Ganesha
Pompa celup Grundfos KPC600A ,1,unit,2850000,3050000,3050000,,Ganesha
Pipa Conduit listrik dia 5/8" (20 mm) legrand,3,meter,10200,11000,3700,,Ganesha
Pipa Conduit listrik dia 3/4" (25 mm) clipsal,3,meter,23300,23300,7800,,Ganesha
Clamp pipa conduit 5/8" legrand,1,buah,800,800,800,,Ganesha
Clamp pipa conduit 3/4" clipsal,1,buah,1800,1800,1800,,Ganesha
Sock pipa conduit 5/8" clipsal,1,buah,800,800,800,,Ganesha
Sock pipa conduit 3/4" clipsal,1,buah,1800,1800,1800,,Ganesha
T dus 5/8 clipsal,1,buah,5900,5900,5900,,Ganesha
T dus 3/4 clipsal,1,buah,12400,12400,12400,,Ganesha
Elbow conduit 5/8 clipsal,1,buah,6500,6500,6500,,Ganesha
Elbow conduit 3/4 clipsal,1,buah,10000,10000,10000,,Ganesha
Klem kabel no 5 (kabel telepon  1pair) merk Yan,50,buah,3000,3000,100,,Ganesha
Klem kabel No 6 (kabel telepon  2pair) merk Yan,50,buah,3300,3300,100,,Ganesha
"Klem kabel No 7 (kabel 2x1,5mm) HK",50,buah,4500,4500,100,,Ganesha
"Klem kabel No 8 (kabel 2x0,75mm) HK",50,buah,5300,5300,200,,Ganesha
"Klem kabel No 9 (Kabel 3x1,5mm or 2x2,5mm) HK",50,buah,5300,5300,200,,Ganesha
"Klem kabel No 10 (Kabel 3x2,5mm) HK",50,buah,5300,5300,200,,Ganesha
Klem kabel No 12 (NYM 3x4m /4x2.5mm) Yan,50,buah,5200,5200,200,,Ganesha
Klem kabel No 14 (kabel NYM 4x4mm) yan,50,buah,7500,7500,200,,Ganesha
Klem kabel No 19 (NYM 4x10mm) Yan,50,buah,21000,21000,500,,Ganesha
Klem kabel No 20 Shukaku,50,buah,33700,33700,700,,Ganesha
Klem kabel No 22 Shukaku,50,buah,33700,33700,700,,Ganesha
Trunking Duct / cable Duct Niso 15x10 mm,3,meter,7000,7000,2400,,Ganesha
Trunking Duct / cable Duct Niso 16x16 mm,3,meter,8500,8500,2900,,Ganesha
Trunking Duct / cable Duct Niso 20x10 mm,3,meter,9000,9000,3000,,Ganesha
Trunking Duct / cable Duct Niso 25x16 mm,3,meter,12000,12000,4000,,Ganesha
Trunking Duct / cable Duct Niso 25x25 mm,3,meter,14500,14500,4900,,Ganesha
Trunking Duct / cable Duct Niso 30x15 mm,3,meter,13500,13500,4500,,Ganesha
Trunking Duct / cable Duct Niso 39x19 mm,3,meter,18000,18000,6000,,Ganesha
Trunking Duct / cable Duct Niso 40x25 mm,3,meter,21000,21000,7000,,Ganesha
Trunking Duct / cable Duct Niso 40x40 mm,3,meter,29500,29500,9900,,Ganesha
Trunking Duct / cable Duct Niso 50x50 mm,3,meter,45000,45000,15000,,Ganesha
Trunking Duct / cable Duct Niso 60x60 mm,3,meter,55000,55000,18400,,Ganesha
Trunking Duct / cable Duct Niso 75x75 mm,3,meter,83500,83500,27900,,Ganesha
Trunking Duct / cable Duct Niso 100x50 mm,3,meter,90000,90000,30000,,Ganesha
Trunking Duct / cable Duct Niso 100x100 mm,3,meter,130000,130000,43400,,Ganesha
Box panel listrik ukuran 20x30x12 cm Asahi,1,unit,183500,183500,183500,,Ganesha
Box panel listrik ukuran 25x35x12 cm Asahi,1,unit,205000,205000,205000,,Ganesha
Box panel listrik ukuran 30x40x15 cm Asahi,1,unit,263000,263000,263000,,Ganesha
Box panel listrik ukuran 40x60x20 cm Asahi,1,unit,569000,569000,569000,,Ganesha
Box panel listrik ukuran 50x70x20 cm Asahi,1,unit,,817000,817000,,Ganesha
Bus bar plat tembaga 15mmx3mm 4 meter,400,cm,378000,378000,1000,,Ganesha
isolator busbar 30x30,1,buah,5000,5000,5000,,Ganesha
Baut+Mur M6x10 putih,1,pcs,300,300,300,,Ganesha
busbar nol + arde,1,set,25000,25000,25000,,Ganesha
lampu indikator/pilot lamp 220 V,1,buah,7000,7000,7000,,Ganesha
Skun kabel Y 1.25 (untuk ukuran kabel 0.25 - 1.25 mm),10,buah,5000,5000,500,,Ganesha
Skun kabel 10-6,1,buah,950,950,1000,,Ganesha
Skun kabel 16-8,1,buah,1100,1100,1100,,Ganesha
Skun kabel 25-8,1,buah,1500,1500,1500,,Ganesha
Baut M6x10,1,buah,250,250,300,,Ganesha
Baut M8x12,1,buah,720,720,800,,Ganesha
Stop kontak dinding 1 phase inbow Panasonic 16A WEJP1121 Child Protection,1,buah,14000,15000,15000,,Ganesha
Stop kontak dinding 1 phase inbow Panasonic 2 lubang,1,buah,,31500,31500,,Ganesha
Stop kontak dinding 1 phase Outbow Panasonic 16A WKJ-1131,1,buah,14000,14000,14000,Toko karapitan,Ganesha
Stop kontak dinding 1 phase inbow Broco  Child Protection,1,buah,14000,14000,14000,,Ganesha
Stop kontak dinding 1 phase Outbow Tutup Broco Atlantic,1,buah,,35000,35000,Toko karapitan,Ganesha
Stop kontak dinding 1 phase Outbow 2 Lubang Broco,1,buah,,25000,25000,,Ganesha
Stop kontak dinding 1 phase Outbow Tutup 2 Lubang Broco Atlantic,1,buah,,70000,70000,,Ganesha
Stop kontak dinding 1 phase Outbow Tutup 3 Lubang Broco,1,buah,,35000,35000,,Ganesha
Stop kontak dinding 1 phase inbow Legrand Child Protection,1,buah,,18000,18000,,Ganesha
Stop kontak dinding 1 phase Outbow Tutup legrand,1,buah,,112000,112000,Toko karapitan,Ganesha
Inbow dus kotak panasonic,1,buah,2500,3000,3000,Toko karapitan,Ganesha
Inbow dus kotak panasonic panjang (2 gang),1,buah,,5000,5000,Toko karapitan,Ganesha
Inbow dus kotak broco,1,buah,,2000,2000,Toko karapitan,Ganesha
Saklar Panasonic 1 Gang Engkel Saklar Kecil WEJ5531,1,buah,,13000,13000,Toko karapitan,Ganesha
Saklar Panasonic 1 Gang Engkel Saklar Besar,1,buah,13500,14000,14000,Toko karapitan,Ganesha
Saklar ganda Panasonic 1 Gang Saklar Seri ,1,buah,22000,21000,21000,Toko karapitan,Ganesha
Saklar Outbow Panasonic 1 Gang Saklar Tunggal,1,buah,,13000,13000,Toko karapitan,Ganesha
Saklar Outbow Panasonic 1 Gang Saklar ganda/seri,1,buah,,15000,15000,Toko karapitan,Ganesha
Saklar Broco 1 Gang Engkel Saklar Kecil,1,buah,,11000,11000,Toko karapitan,Ganesha
Saklar Broco 1 Gang Engkel Saklar Besar Galeo,1,buah,,13000,13000,Toko karapitan,Ganesha
Saklar ganda Broco 1 Gang Saklar Seri Galeo,1,buah,,16000,16000,Toko karapitan,Ganesha
Saklar Outbow Broco 1 Gang Saklar besar Atlantic,1,buah,,47000,47000,Toko karapitan,Ganesha
Saklar Outbow ganda Broco 1 Gang Saklar besar Atlantic,1,buah,,64000,64000,Toko karapitan,Ganesha
Saklar Schneider 1 Gang Engkel Saklar Kecil Classic,1,buah,,18000,18000,Toko karapitan,Ganesha
Saklar ganda Schneider 1 Gang Saklar Seri Classic,1,buah,,29000,29000,Toko karapitan,Ganesha
Saklar Triple Schneider 1 Gang Saklar Triple Classic,1,buah,,39000,39000,Toko karapitan,Ganesha
Stop kontak dinding 3 phase Outbow 4 kaki 32 A Legrand,1,buah,545000,545000,545000,,Ganesha
Outlet data RJ45 Clipsal/Scheneider,1,buah,75000,75000,75000,,Ganesha
Outlet data Audio RCA AV,1,buah,85000,85000,85000,,Ganesha
Lampu TL LED  Philips ecofit Set 16w ( Setara 36w TL Biasa ) + Dudukan 16 watt,1,buah,73000,111000,111000,,Ganesha
Lampu TL LED  Philips ecofit Set 8w ( Setara 18w TL Biasa ) + Dudukan,1,buah,62000,83000,83000,,Ganesha
Kap Lampu TBS 318 2 X TL-D 36W PHILIPS,1,buah,550000,685000,685000,,Ganesha
Lampu TLD 36 watt philips,1,buah,14000,45000,45000,,Ganesha
PHILIPS Downlight LED DN027B 11W,1,buah,127000,187200,187200,,Ganesha
PHILIPS Downlight LED DN027B 15W,1,buah,145000,213200,213200,,Ganesha
PHILIPS Downlight LED Outbow DN027C 11W LED,1,buah,127000,110000,110000,,Ganesha
PHILIPS Downlight LED Outbow DN027C 15W,1,buah,145000,176000,176000,,Ganesha
"Exhaust fan KDK ceiling Siroco fan 24CDQN 6"", 19 W cover25x25 cm
Rotation per minute (RPM) : 880
Hembusan udara : 180 CMH",1,unit,635000,638000,638000,,Ganesha
"Exhaust fan KDK ceiling Siroco fan 32 CHH  6"", cover35x35 cm",1,unit,3450000,3900000,3900000,,Ganesha
"Exhaust fan KDK Wall 25-RQN5 ukuran 35x35 cm, flow rate 860 CMH (505 CFM) 26 watt",1,unit,360000,399000,399000,,Ganesha
"Exhaust fan KDK Wall 30-RQN5 ukuran 40x40 cm, flow rate 1152 CMH 37.6 watt",1,unit,418000,465000,465000,,Ganesha
Flexible alumunium duct 6",10,meter,145000,145000,14500,,Ganesha
Ball valve PVC 1/2",1,buah,12500,12500,12500,,Ganesha
Ball valve PVC 3/4",1,buah,17500,17500,17500,,Ganesha
Ball valve PVC 1",1,buah,23000,23000,23000,,Ganesha
Ball valve PVC 1 1/4",1,buah,30000,30000,30000,,Ganesha
Ball valve PVC 1 1/2",1,buah,70000,70000,70000,,Ganesha
Ball valve PVC 2",1,buah,75000,75000,75000,,Ganesha
Ball valve Kitz Kuningan 1/2",1,buah,,150000,150000,,Ganesha
Ball valve Kitz Kuningan 3/4",1,buah,,185000,185000,,Ganesha
Ball valve Kitz Kuningan 1",1,buah,,257000,257000,,Ganesha
Ball valve Kitz Kuningan 1 1/4",1,buah,,345000,345000,,Ganesha
Ball valve Kitz Kuningan 1 1/2",1,buah,,467000,467000,,Ganesha
Ball valve Kitz Kuningan 2",1,buah,,765000,765000,,Ganesha
Gate valve KITZ 1/2",1,buah,95500,125000,125000,,Ganesha
Gate valve 3/4" KITZ,1,buah,120000,150000,150000,,Ganesha
Gate valve KITZ 1",1,buah,170000,200850,200900,,Ganesha
Gate valve KITZ 1 1/4",1,buah,225000,225000,225000,,Ganesha
Gate valve KITZ 1 1/2",1,buah,279000,336000,336000,,Ganesha
Gate valve KITZ 2",1,buah,425000,500000,500000,,Ganesha
Gate valve KITZ 2 1/2",1,buah,900000,1100000,1100000,,Ganesha
Gate valve KITZ 3",1,buah,1225000,1475000,1475000,,Ganesha
Foot Valve 3/4" kuningan,1,buah,90500,90500,90500,,Ganesha
Foot Valve 1" kuningan Eurostop,1,buah,159000,199700,199700,,Ganesha
 ,1,buah,179000,179000,179000,,Ganesha
Foot Valve 1 1/2" kuningan onda,1,buah,230250,230250,230300,,Ganesha
Foot Valve 2" kuningan onda,1,buah,337250,337250,337300,,Ganesha
Foot Valve 2 1/2" kuningan onda,1,buah,631500,631500,631500,,Ganesha
Foot Valve 3" kuningan onda,1,buah,690250,690250,690300,,Ganesha
Foot Valve 4" kuningan onda,1,buah,1345750,1345750,1345800,,Ganesha
Seal tape onda 10 meter 12mm,1,buah,3000,3000,3000,,Ganesha
Lem PVC tangit,1,buah,7700,7700,7700,,Ganesha
Keran Toto T23B13 leher pendek,1,buah,286000,286000,286000,,Ganesha
Keran Toto TX609K leher angsa,1,buah,497000,497000,497000,,Ganesha
Keran Wastafel Toto T 205MB (spindel kerep),1,buah,355000,355000,355000,,Ganesha
Keran Wastafel Toto TX 109LD,1,buah,728000,728000,728000,,Ganesha
Keran Bak air Toto T30ARQ13N,1,buah,620000,620000,620000,,Ganesha
Keran Bak air Toto T30AR13V7N,1,buah,472000,472000,472000,,Ganesha
Head Shower Toto TX498SN,1,buah,3790000,3790000,3790000,,Ganesha
Kran two way untuk outlet shower San Ei F10C (spindle kerep),1,buah,450000,450000,450000,,Ganesha
"Clean Out 2"" San Ei HN 58, material stainless steel",1,buah,165000,165000,165000,,Ganesha
"Clean Out 4"" San Ei HN 58, material stainless steel ",1,buah,241000,241000,241000,,Ganesha
"Clean Out 6"" San Ei HN 58, material stainless steel ",1,buah,567500,567500,567500,,Ganesha
Siphon Leher angsa wastafel Toto TX 709 AN,1,buah,390600,390600,390600,,Ganesha
Afur wastafel Toto T6JV6,1,buah,260000,260000,260000,,Ganesha
WLC Omron G1F G  P,1,buah,350000,360500,360500,,Ganesha
Pelampung air bola 1/2" Onda,1,buah,,135000,135000,,Ganesha
Pelampung air bola 3/4" Onda,1,buah,178500,210000,210000,,Ganesha
Pelampung Bola Stainless Steel 2" ONDA,1,buah,,1530000,1530000,,Ganesha
